"((1, 8, 0), (8, 2, 0))","[152128, array([-0.01787808,  1.44249296,  1.64566347, -1.50467895, -1.56559941])]"
"((1, 8, 0), (9, 1, 1))","[17872, array([ 0.07127755,  1.45677043,  1.68445227, -1.63882583, -1.57367442])]"
"((1, 8, 0), (8, 9, 0))","[39278, array([ 0.01052596,  0.17075445,  2.14649544, -0.68047946, -1.64729638])]"
"((1, 8, 0), (7, 1, 1))","[32202, array([ 4.14979774e-04,  1.52743100e+00,  1.51016356e+00, -1.59853756e+00,
       -1.43947197e+00])]"
"((1, 8, 0), (7, 2, 1))","[21602, array([-0.04266741,  1.43878453,  1.56138273, -1.53505198, -1.42244787])]"
"((1, 8, 0), (7, 3, 1))","[11967, array([-0.08554178,  1.40531599,  1.52913252, -1.48661479, -1.36229194])]"
"((1, 8, 0), (0, 2, 0))","[90200, array([-0.04747911,  2.07502784,  0.0918999 , -1.51834721, -0.60110142])]"
"((1, 8, 0), (8, 3, 1))","[12917, array([-0.10557306,  1.4649966 ,  1.54873293, -1.38212395, -1.52603251])]"
"((1, 8, 0), (9, 3, 1))","[2448, array([ 0.05738109,  1.37502949,  1.57721169, -1.45647724, -1.55314503])]"
"((1, 8, 0), (8, 2, 1))","[32281, array([-2.92190719e-04,  1.48735849e+00,  1.58985444e+00, -1.51752066e+00,
       -1.55940008e+00])]"
"((1, 8, 0), (9, 2, 1))","[6399, array([-0.02364219,  1.54406752,  1.65420218, -1.54838466, -1.62624285])]"
"((1, 8, 0), (7, 0, 0))","[29684, array([ 0.09340919,  1.75327488,  1.37830788, -1.62903663, -1.59595531])]"
"((1, 8, 0), (3, 1, 1))","[1097, array([-0.28408126,  1.63235179,  1.54276159, -1.59275948, -1.29827263])]"
"((1, 8, 0), (4, 1, 1))","[2425, array([ 0.08739873,  1.42717656,  1.38814197, -1.58464231, -1.31807495])]"
"((1, 8, 0), (2, 2, 1))","[1209, array([-0.07979284,  1.50307228,  1.61034748, -1.79841961, -1.23520731])]"
"((1, 8, 0), (2, 1, 1))","[781, array([ 0.0319526 ,  1.52159512,  1.5825578 , -1.78865615, -1.34744936])]"
"((1, 8, 0), (3, 2, 1))","[1980, array([-0.6255464 ,  1.59856262,  1.63317191, -1.4832572 , -1.12293093])]"
"((1, 8, 0), (6, 1, 1))","[13015, array([-0.12752058,  1.57910996,  1.49464989, -1.5642001 , -1.38203918])]"
"((1, 8, 0), (5, 1, 1))","[5835, array([-0.17778117,  1.65241455,  1.3455621 , -1.47933946, -1.34085602])]"
"((1, 8, 0), (9, 2, 0))","[31008, array([-0.05199875,  1.44433176,  1.74232663, -1.5108444 , -1.62381524])]"
"((1, 8, 0), (4, 0, 1))","[540, array([ 0.34214431,  1.14726003,  1.36916366, -1.63814739, -1.22042061])]"
"((1, 8, 0), (6, 2, 1))","[11791, array([-0.17915678,  1.54483374,  1.51197539, -1.48498385, -1.3926685 ])]"
"((1, 8, 0), (6, 0, 1))","[2257, array([ 0.0199308 ,  1.52640849,  1.37839161, -1.48610583, -1.43862507])]"
"((1, 8, 0), (7, 0, 1))","[6363, array([-0.07978472,  1.63476407,  1.48640396, -1.57848905, -1.46289426])]"
"((1, 8, 0), (6, 4, 1))","[5518, array([ 0.00966237,  1.41246339,  1.37347053, -1.43696508, -1.3586312 ])]"
"((1, 8, 0), (6, 3, 1))","[8127, array([ 0.05738135,  1.42628716,  1.40928977, -1.50267882, -1.39027946])]"
"((1, 8, 0), (7, 4, 1))","[6182, array([-0.06395471,  1.37166878,  1.44820432, -1.43621223, -1.31970615])]"
"((1, 8, 0), (8, 4, 1))","[5650, array([-0.20096761,  1.43019352,  1.5074933 , -1.24064867, -1.49607055])]"
"((1, 8, 0), (9, 4, 1))","[1241, array([-0.31587036,  1.36488884,  1.67130266, -1.33185446, -1.38846669])]"
